iter	Passed	Remaining
0	0	96
1	1	95
2	2	87
3	3	82
4	4	79
5	4	77
6	5	74
7	6	73
8	7	70
9	7	68
10	8	69
11	9	69
12	10	68
13	10	67
14	11	65
15	12	64
16	12	63
17	13	61
18	14	60
19	14	59
20	15	57
21	16	56
22	16	55
23	17	54
24	17	53
25	18	52
26	19	51
27	19	50
28	20	49
29	21	49
30	21	48
31	22	48
32	23	47
33	24	47
34	24	46
35	25	45
36	26	44
37	26	43
38	27	42
39	27	41
40	28	41
41	29	40
42	29	39
43	30	38
44	30	37
45	31	36
46	32	36
47	32	35
48	33	35
49	34	34
50	34	33
51	35	32
52	36	32
53	36	31
54	37	30
55	38	29
56	38	29
57	39	28
58	39	27
59	40	27
60	41	26
61	41	25
62	42	25
63	43	24
64	43	23
65	44	22
66	45	22
67	45	21
68	46	20
69	46	20
70	47	19
71	47	18
72	48	17
73	49	17
74	49	16
75	50	15
76	50	15
77	51	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	54	10
84	55	9
85	55	9
86	56	8
87	57	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	60	3
94	61	3
95	61	2
96	62	1
97	62	1
98	63	0
99	63	0
