iter	Passed	Remaining
0	1	1710
1	5	2554
2	6	2287
3	8	2135
4	10	2020
5	11	1927
6	13	1856
7	14	1801
8	18	2045
9	21	2141
10	23	2152
11	25	2118
12	27	2076
13	28	2030
14	30	2030
15	32	1994
16	33	1947
17	35	1913
18	36	1889
19	38	1875
20	39	1856
21	41	1838
22	45	1933
23	46	1907
24	48	1888
25	49	1864
26	51	1840
27	52	1815
28	53	1795
29	54	1776
30	56	1766
31	59	1798
32	61	1793
33	62	1780
34	64	1764
35	65	1749
36	66	1734
37	68	1724
38	69	1713
39	73	1752
40	74	1749
41	76	1748
42	78	1748
43	80	1742
44	81	1730
45	82	1720
46	84	1718
47	86	1723
48	88	1716
49	89	1703
50	90	1689
51	91	1676
52	93	1664
53	94	1653
54	95	1640
55	96	1629
56	98	1625
57	99	1616
58	102	1635
59	103	1624
60	104	1613
61	106	1605
62	107	1594
63	108	1584
64	109	1574
65	110	1565
66	111	1555
67	112	1546
68	114	1547
69	116	1547
70	117	1541
71	118	1532
72	119	1523
73	121	1515
74	122	1509
75	124	1508
76	125	1501
77	126	1494
78	127	1486
79	128	1480
80	130	1475
81	132	1480
82	133	1478
83	135	1479
84	137	1475
85	138	1470
86	139	1466
87	141	1463
88	142	1460
89	144	1458
90	146	1462
91	148	1461
92	149	1462
93	151	1459
94	153	1457
95	154	1456
96	156	1452
97	157	1448
98	163	1484
99	165	1489
100	167	1486
101	169	1488
102	170	1486
103	172	1482
104	174	1484
105	177	1493
106	178	1492
107	180	1487
108	181	1483
109	182	1478
110	184	1475
111	185	1472
112	187	1469
113	189	1474
114	192	1477
115	194	1480
116	195	1477
117	197	1474
118	198	1472
119	200	1466
120	201	1461
121	203	1462
122	206	1469
123	208	1470
124	209	1467
125	211	1467
126	212	1462
127	213	1457
128	215	1455
129	217	1454
130	219	1455
131	221	1454
132	222	1451
133	223	1447
134	225	1443
135	226	1438
136	227	1433
137	228	1430
138	230	1425
139	231	1424
140	235	1432
141	236	1427
142	237	1426
143	239	1423
144	240	1421
145	242	1417
146	243	1415
147	245	1410
148	246	1409
149	253	1434
150	255	1435
151	257	1434
152	258	1430
153	259	1426
154	261	1423
155	263	1426
156	266	1428
157	267	1427
158	269	1424
159	270	1421
160	271	1415
161	272	1411
162	274	1408
163	275	1403
164	279	1415
165	281	1412
166	282	1409
167	283	1406
168	285	1402
169	286	1398
170	287	1395
171	289	1391
172	290	1388
173	292	1390
174	294	1390
175	296	1388
176	298	1386
177	299	1384
178	301	1381
179	302	1379
180	304	1376
181	307	1380
182	309	1383
183	311	1383
184	314	1384
185	315	1381
186	317	1379
187	318	1376
188	320	1375
189	322	1375
190	324	1376
191	327	1376
192	328	1374
193	330	1372
194	331	1368
195	332	1365
196	334	1364
197	336	1364
198	338	1362
199	340	1361
200	342	1360
201	343	1357
202	344	1354
203	346	1351
204	347	1348
205	349	1348
206	351	1348
207	353	1346
208	355	1344
209	356	1341
210	358	1340
211	361	1344
212	363	1342
213	364	1339
214	365	1335
215	367	1332
216	369	1334
217	372	1335
218	374	1334
219	375	1332
220	377	1329
221	378	1326
222	379	1323
223	381	1320
224	382	1318
225	386	1324
226	388	1323
227	390	1320
228	391	1318
229	393	1315
230	394	1312
231	395	1310
232	397	1307
233	398	1305
234	401	1306
235	403	1306
236	405	1304
237	406	1301
238	407	1298
239	409	1295
240	410	1292
241	411	1289
242	414	1291
243	416	1291
244	419	1292
245	421	1291
246	422	1288
247	424	1286
248	425	1283
249	426	1280
250	430	1283
251	432	1283
252	434	1281
253	435	1279
254	437	1276
255	438	1274
256	440	1272
257	444	1278
258	446	1277
259	448	1276
260	449	1273
261	451	1270
262	452	1267
263	453	1264
264	454	1260
265	455	1257
266	458	1257
267	460	1256
268	461	1255
269	463	1252
270	464	1248
271	465	1246
272	466	1243
273	468	1240
274	469	1237
275	471	1236
276	474	1237
277	476	1237
278	477	1235
279	479	1232
280	480	1229
281	481	1227
282	483	1224
283	494	1247
284	496	1245
285	497	1242
286	499	1240
287	509	1260
288	511	1258
289	512	1255
290	515	1256
291	520	1261
292	521	1259
293	523	1256
294	525	1255
295	527	1253
296	528	1250
297	540	1273
298	542	1271
299	543	1268
300	546	1269
301	551	1274
302	552	1271
303	554	1269
304	556	1267
305	557	1265
306	559	1262
307	567	1274
308	568	1271
309	569	1268
310	571	1265
311	572	1262
312	573	1259
313	575	1256
314	577	1255
315	580	1255
316	581	1252
317	582	1249
318	584	1247
319	586	1246
320	588	1244
321	592	1247
322	597	1251
323	602	1256
324	604	1256
325	607	1257
326	610	1256
327	612	1254
328	613	1251
329	614	1248
330	616	1245
331	617	1242
332	619	1240
333	621	1239
334	622	1236
335	624	1234
336	625	1231
337	626	1227
338	628	1224
339	629	1221
340	630	1218
341	631	1215
342	633	1213
343	635	1212
344	637	1209
345	638	1207
346	639	1204
347	641	1200
348	642	1198
349	643	1194
350	644	1192
351	645	1188
352	647	1186
353	653	1193
354	655	1191
355	657	1189
356	659	1187
357	660	1184
358	662	1183
359	665	1183
360	667	1180
361	668	1178
362	670	1176
363	671	1174
364	673	1171
365	674	1168
366	676	1166
367	680	1168
368	682	1167
369	684	1164
370	685	1162
371	687	1160
372	688	1157
373	690	1155
374	691	1153
375	694	1152
376	696	1151
377	698	1149
378	700	1147
379	701	1144
380	703	1142
381	704	1139
382	708	1141
383	710	1139
384	713	1139
385	715	1138
386	717	1136
387	718	1133
388	719	1130
389	722	1129
390	724	1128
391	726	1126
392	728	1124
393	729	1122
394	731	1120
395	732	1117
396	734	1115
397	736	1113
398	737	1111
399	739	1109
400	741	1107
401	743	1105
402	744	1103
403	745	1100
404	747	1097
405	748	1094
406	749	1092
407	751	1091
408	757	1094
409	758	1091
410	759	1088
411	760	1085
412	761	1082
413	762	1079
414	764	1077
415	768	1078
416	770	1077
417	772	1075
418	774	1073
419	775	1071
420	777	1068
421	778	1066
422	781	1065
423	783	1064
424	785	1062
425	786	1060
426	788	1058
427	789	1055
428	791	1052
429	792	1050
430	794	1048
431	798	1049
432	800	1048
433	802	1046
434	803	1044
435	805	1041
436	807	1040
437	809	1039
438	812	1038
439	814	1036
440	816	1034
441	818	1032
442	819	1030
443	820	1027
444	821	1025
445	823	1022
446	826	1022
447	828	1021
448	830	1019
449	831	1016
450	833	1014
451	834	1011
452	836	1009
453	838	1008
454	840	1006
455	842	1005
456	844	1003
457	845	1000
458	847	998
459	848	995
460	849	993
461	853	993
462	855	991
463	856	989
464	858	987
465	860	985
466	861	982
467	862	980
468	863	978
469	865	976
470	867	974
471	870	973
472	871	971
473	872	968
474	874	966
475	875	963
476	876	961
477	878	958
478	879	956
479	882	956
480	884	954
481	886	953
482	888	951
483	889	948
484	891	946
485	892	944
486	894	942
487	896	940
488	899	939
489	900	937
490	902	935
491	904	933
492	905	931
493	906	928
494	908	926
495	912	927
496	914	925
497	916	923
498	917	921
499	919	919
500	920	916
501	921	914
502	923	912
503	925	911
504	928	909
505	930	907
506	931	905
507	932	903
508	933	900
509	935	898
510	936	895
511	937	893
512	942	894
513	944	892
514	946	891
515	947	889
516	949	886
517	950	884
518	951	882
519	954	880
520	957	879
521	959	878
522	960	876
523	962	873
524	963	871
525	964	869
526	966	867
527	970	867
528	972	865
529	973	863
530	975	861
531	976	859
532	978	857
533	979	855
534	981	852
535	984	852
536	986	850
537	988	848
538	989	846
539	991	844
540	992	842
541	994	840
542	995	837
543	1000	838
544	1002	837
545	1004	835
546	1007	834
547	1008	831
548	1010	829
549	1012	828
550	1014	826
551	1016	824
552	1018	823
553	1019	821
554	1021	819
555	1023	816
556	1024	815
557	1026	813
558	1029	812
559	1031	810
560	1033	808
561	1035	806
562	1036	804
563	1038	802
564	1041	801
565	1043	799
566	1045	798
567	1046	795
568	1047	793
569	1049	791
570	1050	789
571	1051	787
572	1054	785
573	1056	783
574	1058	782
575	1060	780
576	1061	778
577	1062	776
578	1064	773
579	1065	771
580	1066	769
581	1068	767
582	1070	766
583	1073	764
584	1074	762
585	1075	760
586	1077	757
587	1078	755
588	1079	753
589	1080	751
590	1082	749
591	1084	747
592	1086	745
593	1087	743
594	1089	741
595	1090	739
596	1092	737
597	1093	734
598	1094	732
599	1095	730
600	1097	728
601	1099	727
602	1101	725
603	1103	723
604	1104	721
605	1106	719
606	1107	717
607	1108	714
608	1110	712
609	1116	713
610	1118	712
611	1122	711
612	1123	709
613	1125	707
614	1128	706
615	1130	704
616	1133	703
617	1134	701
618	1135	699
619	1137	697
620	1138	694
621	1139	692
622	1143	692
623	1145	690
624	1147	688
625	1148	686
626	1150	684
627	1151	681
628	1152	679
629	1154	677
630	1155	675
631	1158	674
632	1160	673
633	1162	671
634	1165	669
635	1166	667
636	1168	665
637	1169	663
638	1173	663
639	1175	661
640	1177	659
641	1179	658
642	1181	655
643	1182	653
644	1184	651
645	1186	650
646	1188	648
647	1190	646
648	1191	644
649	1193	642
650	1194	640
651	1195	638
652	1197	636
653	1198	633
654	1200	632
655	1203	631
656	1205	629
657	1206	627
658	1208	625
659	1209	623
660	1210	620
661	1211	618
662	1212	616
663	1214	614
664	1217	613
665	1219	611
666	1220	609
667	1221	607
668	1222	605
669	1224	602
670	1225	600
671	1226	598
672	1227	596
673	1232	595
674	1233	594
675	1236	592
676	1237	590
677	1239	588
678	1240	586
679	1242	584
680	1243	582
681	1247	581
682	1248	579
683	1250	577
684	1251	575
685	1253	573
686	1254	571
687	1255	569
688	1256	567
689	1261	566
690	1263	564
691	1264	563
692	1266	561
693	1268	559
694	1269	557
695	1270	555
696	1272	553
697	1275	551
698	1277	550
699	1279	548
700	1280	546
701	1281	544
702	1283	542
703	1284	540
704	1285	538
705	1286	535
706	1290	534
707	1293	533
708	1295	531
709	1297	529
710	1298	527
711	1300	525
712	1301	523
713	1303	522
714	1306	520
715	1308	518
716	1309	516
717	1311	514
718	1312	512
719	1314	511
720	1315	509
721	1316	507
722	1320	505
723	1321	503
724	1323	501
725	1324	499
726	1325	497
727	1327	495
728	1328	493
729	1329	491
730	1330	489
731	1331	487
732	1333	485
733	1335	483
734	1336	481
735	1338	480
736	1340	478
737	1341	476
738	1342	474
739	1344	472
740	1345	470
